spellberta7.mp4,Maiden & Spellberta 7,https://challonge.com/spellberta7,2020/06/30,Maiden & Spell,Omergosh+Hourai+SayaDuck,Omergosh
00:24:02,00:27:34,Winners Round 1,SayaDuck,Xenghow,Lich of Flowers,Lich of Flowers
00:28:15,00:37:37,Winners Round 2,Revilo,Ada Basilisk,Silent Redhood,Lich of Flowers
00:45:22,00:48:30,Winners Quarterfinals,nix,Hourai,Dreadwyrm Heir,Sun Priestess
00:53:37,00:57:30,Winners Quarterfinals,Quetzalcoatl,Jayfeather6,Silent Redhood,Hero of Frost+Stormbeast
01:02:28,01:07:23,Losers Round 3,Jayfeather6,Princesse,Sun Priestess+Royal Arcanist,Silent Redhood
01:10:52,01:15:14,Losers Round 3,kerokero,iLLy,Sun Priestess,Lich of Flowers+Depth's Secret
01:18:45,01:22:03,Winners Semifinals,nix,Ada Basilisk,Dreadwyrm Heir,Lich of Flowers
01:26:15,01:30:36,Winners Semifinals,Dino,Quetzalcoatl,Sun Priestess+Dreadwyrm Heir,Stormbeast+Hero of Frost
01:35:04,01:40:02,Losers Top 8,kerokero,Princesse,Sun Priestess,Lich of Flowers,Silent Redhood
01:50:43,02:00:08,Losers Top 8,Hourai,Ferdinand,Sun Priestess,Stormbeast
02:05:00,02:12:40,Losers Quarterfinals,Ferdinand,Dino,Stormbeast,Silent Redhood
02:16:07,02:21:33,Losers Semifinals,kerokero,Dino,Sun Priestess,Silent Redhood
02:24:00,02:33:40,Winners Finals,nix,Quetzalcoatl,Dreadwyrm Heir,Silent Redhood
02:35:44,02:50:47,Losers Finals,Dino,Quetzalcoatl,Silent Redhood,Silent Redhood
02:52:25,03:14:56,Grand Finals,nix,Quetzalcoatl,Dreadwyrm Heir,Silent Redhood